split,source,source_rel_id,group,image_path,dest_image,num_boxes
train,roboflow_traffic_sign_yolo26,train/283_png.rf.TbsE4U28dU3Z1VhnYCsd,roboflow_traffic_sign_yolo26/train/283_png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_traffic_sign_yolo26/train/images/283_png.rf.TbsE4U28dU3Z1VhnYCsd.png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_traffic_sign_yolo26__train__283_png.rf.TbsE4U28dU3Z1VhnYCsd__363c530b5358.png,2
train,roboflow_indian_traffic_sign_yolo26,train/30015_jpg.rf.PpNJi3siGmMyVZExwMVy,roboflow_indian_traffic_sign_yolo26/train/30015_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/30015_jpg.rf.PpNJi3siGmMyVZExwMVy.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__30015_jpg.rf.PpNJi3siGmMyVZExwMVy__c57c19d25c40.jpg,1
train,github_abhay,highquality_16k/BLR-2018-06-29-10-07-38_part_3/0000555,github_abhay/highquality_16k/BLR-2018-06-29-10-07-38_part_3,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-06-29-10-07-38_part_3/0000555.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-06-29-10-07-38_part_3__0000555__d7b9763a8022.jpg,1
train,github_abhay,highquality_16k/BLR-2018-06-29-10-07-38_part_3/0000510,github_abhay/highquality_16k/BLR-2018-06-29-10-07-38_part_3,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-06-29-10-07-38_part_3/0000510.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-06-29-10-07-38_part_3__0000510__a106f74db1ab.jpg,1
train,github_abhay,highquality_16k/BLR-2018-06-29-10-07-38_part_3/0000600,github_abhay/highquality_16k/BLR-2018-06-29-10-07-38_part_3,/home/nnmax/Desktop/forge-alpha/signboard-yolo/raw_github/JPEGImages/highquality_16k/BLR-2018-06-29-10-07-38_part_3/0000600.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/github_abhay__highquality_16k__BLR-2018-06-29-10-07-38_part_3__0000600__84ee988d12c0.jpg,1
train,roboflow_indian_traffic_sign_yolo26,train/69102_jpg.rf.8myoZIApiCnex0722t1q,roboflow_indian_traffic_sign_yolo26/train/69102_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/69102_jpg.rf.8myoZIApiCnex0722t1q.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__69102_jpg.rf.8myoZIApiCnex0722t1q__529b0a247fb3.jpg,1
train,roboflow_traffic_sign_yolo26,train/450_png.rf.xzSSoVjTs73SyqNWRsW5,roboflow_traffic_sign_yolo26/train/450_png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_traffic_sign_yolo26/train/images/450_png.rf.xzSSoVjTs73SyqNWRsW5.png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_traffic_sign_yolo26__train__450_png.rf.xzSSoVjTs73SyqNWRsW5__cc4741642b4b.png,1
train,roboflow_indian_traffic_sign_yolo26,train/65175_jpg.rf.XQFZXr9HW8Lg3Y8g03tk,roboflow_indian_traffic_sign_yolo26/train/65175_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/65175_jpg.rf.XQFZXr9HW8Lg3Y8g03tk.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__65175_jpg.rf.XQFZXr9HW8Lg3Y8g03tk__7f949511e894.jpg,1
train,roboflow_indian_traffic_sign_yolo26,train/70071_jpg.rf.Np0EzK55KXS8yLlEIrdn,roboflow_indian_traffic_sign_yolo26/train/70071_jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_indian_traffic_sign_yolo26/train/images/70071_jpg.rf.Np0EzK55KXS8yLlEIrdn.jpg,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_indian_traffic_sign_yolo26__train__70071_jpg.rf.Np0EzK55KXS8yLlEIrdn__b241a2284118.jpg,1
train,roboflow_traffic_sign_yolo26,train/228_png.rf.ESVSymR621PDeoCpbaFA,roboflow_traffic_sign_yolo26/train/228_png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/raw/roboflow_traffic_sign_yolo26/train/images/228_png.rf.ESVSymR621PDeoCpbaFA.png,/home/nnmax/Desktop/forge-alpha/signboard-yolo/data/curated/signboard_yolo26_lite/images/train/roboflow_traffic_sign_yolo26__train__228_png.rf.ESVSymR621PDeoCpbaFA__b2069809dd08.png,1
