epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3123,1.4457,6.60323,0.01135,0.63926,0.47328,0.51474,0.30069,1.43727,3.55299,0.01496,0.000664516,0.000664516,0.000664516
2,114.69,1.55578,3.39543,0.01298,0.62525,0.47328,0.51784,0.31441,1.49474,2.06924,0.01455,0.00133067,0.00133067,0.00133067
3,169.889,1.61224,2.23692,0.0142,0.60945,0.50127,0.5244,0.28103,1.69056,1.85655,0.01858,0.0019948,0.0019948,0.0019948
4,224.315,1.65643,1.88373,0.01452,0.61347,0.53944,0.57009,0.31649,1.67903,1.71587,0.01874,0.00199314,0.00199314,0.00199314
5,278.328,1.6231,1.71561,0.01388,0.59842,0.61832,0.60567,0.31681,1.69752,1.62491,0.02067,0.00198781,0.00198781,0.00198781
6,332.679,1.60919,1.62847,0.01334,0.75601,0.54707,0.64357,0.37825,1.61857,1.49143,0.0167,0.00198098,0.00198098,0.00198098
7,386.97,1.56077,1.54525,0.01268,0.73296,0.55725,0.63963,0.38664,1.54047,1.51395,0.01398,0.00197265,0.00197265,0.00197265
8,442.395,1.54577,1.4451,0.01267,0.72775,0.61323,0.65257,0.39222,1.58405,1.45425,0.01563,0.00196283,0.00196283,0.00196283
9,499.48,1.55188,1.44868,0.01316,0.77772,0.5827,0.66604,0.37166,1.69052,1.48114,0.01831,0.00195155,0.00195155,0.00195155
10,556.66,1.54641,1.41045,0.01226,0.72492,0.5968,0.67367,0.42259,1.53869,1.34001,0.01476,0.00193881,0.00193881,0.00193881
11,614.356,1.52721,1.3793,0.01227,0.7209,0.67695,0.72024,0.44301,1.48733,1.26682,0.01208,0.00192464,0.00192464,0.00192464
12,673.09,1.50825,1.30705,0.0121,0.76355,0.61626,0.68705,0.40778,1.56058,1.43113,0.0167,0.00190906,0.00190906,0.00190906
13,731.478,1.53553,1.30776,0.01227,0.71832,0.63868,0.69821,0.40367,1.62126,1.38227,0.01532,0.0018921,0.0018921,0.0018921
14,789.331,1.49515,1.3023,0.01129,0.77428,0.63359,0.71625,0.41058,1.66019,1.31784,0.0146,0.00187377,0.00187377,0.00187377
15,847.618,1.47976,1.27267,0.01154,0.83363,0.63752,0.73939,0.41585,1.5615,1.33326,0.016,0.00185411,0.00185411,0.00185411
16,905.625,1.44755,1.27046,0.01181,0.77121,0.66902,0.72149,0.41636,1.57895,1.29452,0.01544,0.00183315,0.00183315,0.00183315
17,963.702,1.46316,1.25639,0.01173,0.77554,0.63301,0.70838,0.43264,1.57382,1.32212,0.01595,0.00181093,0.00181093,0.00181093
18,1024.38,1.45186,1.2327,0.01097,0.81513,0.67315,0.75702,0.4475,1.53671,1.14817,0.01427,0.00178746,0.00178746,0.00178746
19,1085.72,1.47499,1.22272,0.01153,0.83005,0.6338,0.74417,0.44267,1.5556,1.21522,0.01532,0.0017628,0.0017628,0.0017628
20,1147.44,1.41735,1.18848,0.01037,0.77994,0.63613,0.73017,0.44813,1.47699,1.22403,0.01597,0.00173698,0.00173698,0.00173698
21,1209.13,1.41455,1.12891,0.01052,0.83771,0.66983,0.76037,0.5003,1.4056,1.1219,0.01095,0.00171004,0.00171004,0.00171004
22,1270.74,1.38049,1.15219,0.01102,0.83342,0.68746,0.76466,0.50473,1.40651,1.15838,0.01114,0.00168201,0.00168201,0.00168201
23,1330.62,1.42435,1.15637,0.01055,0.83646,0.68976,0.76676,0.51243,1.39082,1.15822,0.01004,0.00165295,0.00165295,0.00165295
